node1	node2
1	17
1	39
1	40
1	41
2	7
2	16
2	17
2	22
2	26
2	29
2	44
2	53
2	62
2	64
3	18
3	25
3	28
4	12
4	17
4	19
4	20
4	22
4	26
4	28
4	29
4	31
4	37
4	40
4	45
4	46
4	52
4	61
4	62
4	70
5	18
5	24
5	28
5	31
5	32
5	33
5	38
5	39
5	50
5	51
5	54
5	58
5	59
5	63
6	24
6	28
6	30
6	31
6	32
6	38
6	43
6	51
6	58
6	59
6	63
6	65
7	2
7	18
7	63
9	12
9	16
9	29
9	45
9	60
10	24
10	26
10	29
10	31
10	34
10	49
10	53
10	60
11	17
11	39
11	40
11	41
11	43
11	45
11	49
11	54
11	56
11	65
11	70
12	4
12	9
12	15
12	16
12	17
12	19
12	26
12	29
12	34
12	38
12	42
12	61
12	62
13	31
13	33
13	38
13	39
13	40
13	41
13	43
13	49
13	52
13	55
13	57
13	65
13	66
13	67
13	71
14	16
14	17
14	25
14	28
14	30
14	32
14	50
14	63
15	12
15	16
15	19
15	20
15	22
15	24
15	26
15	29
15	32
15	35
15	36
15	37
15	44
15	47
15	48
15	61
15	62
15	63
15	66
16	2
16	9
16	12
16	14
16	15
16	17
16	22
16	26
16	27
16	29
16	32
16	34
16	36
16	37
16	38
16	42
16	44
16	48
16	50
16	53
16	55
16	56
16	61
16	62
16	64
17	1
17	2
17	4
17	11
17	12
17	14
17	16
17	19
17	22
17	24
17	25
17	26
17	28
17	29
17	34
17	39
17	42
17	44
17	45
17	48
17	61
17	62
18	3
18	5
18	7
18	28
18	31
18	32
18	33
18	35
18	50
18	51
18	58
18	59
18	63
19	4
19	12
19	15
19	17
19	22
19	24
19	26
19	28
19	34
19	35
19	42
19	43
19	45
19	46
19	53
19	60
19	62
19	64
19	68
19	70
20	4
20	15
20	22
20	26
20	40
21	27
21	40
21	41
21	43
21	49
21	55
21	57
22	2
22	4
22	15
22	16
22	17
22	19
22	20
22	31
22	32
22	38
22	39
22	40
22	43
22	47
22	49
22	51
22	52
22	54
22	55
22	56
22	57
22	60
22	62
22	64
22	66
22	68
22	69
22	71
23	40
23	41
23	47
23	49
23	52
23	54
23	55
23	66
24	5
24	6
24	10
24	15
24	17
24	19
24	26
24	31
24	36
24	38
24	40
24	41
24	44
24	52
24	55
24	57
24	65
24	67
25	3
25	14
25	17
25	28
25	35
25	48
25	50
25	63
26	2
26	4
26	10
26	12
26	15
26	16
26	17
26	19
26	20
26	24
26	27
26	32
26	38
26	39
26	40
26	41
26	49
26	52
26	54
26	55
26	56
26	62
26	65
26	66
26	67
26	68
26	69
27	16
27	21
27	26
27	38
27	40
27	43
27	49
27	55
27	56
27	68
27	71
28	3
28	4
28	5
28	6
28	14
28	17
28	18
28	19
28	25
28	30
28	31
28	32
28	35
28	42
28	45
28	46
28	50
28	58
28	63
28	70
29	2
29	4
29	9
29	10
29	12
29	15
29	16
29	17
29	34
29	37
29	45
29	46
29	48
29	60
29	61
29	63
29	70
30	6
30	14
30	28
30	31
30	39
30	51
30	57
30	58
30	59
31	4
31	5
31	6
31	10
31	13
31	18
31	22
31	24
31	28
31	30
31	32
31	33
31	35
31	46
31	51
31	55
31	58
31	59
31	63
32	5
32	6
32	14
32	15
32	16
32	18
32	22
32	26
32	28
32	31
32	33
32	35
32	50
32	51
32	58
32	59
32	63
32	70
33	5
33	13
33	18
33	31
33	32
33	51
33	54
33	57
33	59
34	10
34	12
34	16
34	17
34	19
34	29
34	48
34	61
35	15
35	18
35	19
35	25
35	28
35	31
35	32
35	45
35	46
35	60
35	63
36	15
36	16
36	24
36	43
36	45
36	47
36	54
36	61
36	65
37	4
37	15
37	16
37	29
38	5
38	6
38	12
38	13
38	16
38	22
38	24
38	26
38	27
38	52
38	55
38	56
38	57
39	1
39	5
39	11
39	13
39	17
39	22
39	26
39	30
39	42
39	66
39	69
40	1
40	4
40	11
40	13
40	20
40	21
40	22
40	23
40	24
40	26
40	27
40	65
40	70
41	1
41	11
41	13
41	21
41	23
41	24
41	26
41	43
41	49
41	54
41	55
41	56
41	57
41	65
41	66
41	68
42	12
42	16
42	17
42	19
42	28
42	39
42	43
42	48
43	6
43	11
43	13
43	19
43	21
43	22
43	27
43	36
43	41
43	42
43	61
43	67
43	68
43	69
44	2
44	15
44	16
44	17
44	24
45	4
45	9
45	11
45	17
45	19
45	28
45	29
45	35
45	36
45	46
46	4
46	19
46	28
46	29
46	31
46	35
46	45
46	60
46	70
47	15
47	22
47	23
47	36
48	15
48	16
48	17
48	25
48	29
48	34
48	42
48	62
49	10
49	11
49	13
49	21
49	22
49	23
49	26
49	27
49	41
49	65
49	66
49	71
50	5
50	14
50	16
50	18
50	25
50	28
50	32
51	5
51	6
51	18
51	22
51	30
51	31
51	32
51	33
51	54
51	58
52	4
52	13
52	22
52	23
52	24
52	26
52	38
53	2
53	10
53	16
53	19
53	64
54	5
54	11
54	22
54	23
54	26
54	33
54	36
54	41
54	51
54	58
54	65
55	13
55	16
55	21
55	22
55	23
55	24
55	26
55	27
55	31
55	38
55	41
55	65
55	66
56	11
56	16
56	22
56	26
56	27
56	38
56	41
57	13
57	21
57	22
57	24
57	30
57	33
57	38
57	41
58	5
58	6
58	18
58	28
58	30
58	31
58	32
58	51
58	54
58	59
59	5
59	6
59	18
59	30
59	31
59	32
59	33
59	58
60	9
60	10
60	19
60	22
60	29
60	35
60	46
61	4
61	12
61	15
