V1,V2,Type
210,25,1
210,27,1
210,31,1
210,34,1
210,35,1
210,39,1
210,95,1
210,106,1
210,110,1
210,112,1
210,124,1
210,132,1
210,140,1
210,260,1
210,270,1
210,290,1
210,317,1
210,320,1
210,330,1
210,340,1
210,350,1
210,360,1
210,370,1
210,410,1
210,411,1
210,420,1
210,430,1
210,440,1
210,450,1
210,511,1
210,729,1
210,828,1
210,1620,1
210,1719,1
210,1815,1
210,1916,1
210,2113,1
210,2214,1
210,2317,1
210,2418,1
210,2522,1
210,3021,1
210,3823,1
210,3924,1
210,4026,1
27,1620,1
27,3823,1
31,35,1
31,320,1
35,39,1
95,112,1
95,3021,1
112,3021,1
132,350,1
260,340,1
260,440,1
320,440,1
330,2522,1
370,1719,1
411,511,1
411,828,1
440,2418,1
511,828,1
511,4026,1
2113,2214,1
210,27,2
210,28,2
210,33,2
210,34,2
210,35,2
210,39,2
210,95,2
210,106,2
210,110,2
210,112,2
210,124,2
210,132,2
210,140,2
210,153,2
210,260,2
210,317,2
210,330,2
210,340,2
210,350,2
210,370,2
210,410,2
210,411,2
210,511,2
210,632,2
210,828,2
210,1620,2
210,1719,2
210,2030,2
210,2113,2
210,2214,2
210,2317,2
210,2522,2
210,3021,2
210,3823,2
210,3924,2
27,1620,2
27,3823,2
95,112,2
95,3021,2
112,3021,2
132,350,2
260,340,2
330,2522,2
370,1719,2
411,511,2
411,828,2
511,828,2
632,1620,2
2113,2214,2
