ID	Qualification	Gender	Multiplexity	Support	Proximity
210	1	1	3	2	4
25	2	1	1	1	1
27	2	1	3	1	2
28	2	1	2	1	1
31	2	1	1	1	2
33	2	1	2	1	1
34	2	1	3	1	2
35	2	1	3	1	2
39	4	1	3	2	2
95	1	2	3	2	3
106	2	2	3	1	3
110	4	2	3	1	1
112	6	1	3	1	1
124	2	2	3	1	1
132	2	2	3	1	1
140	4	2	3	1	1
153	3	1	2	1	1
260	2	2	3	2	2
270	5	2	1	2	1
290	4	1	1	2	2
317	4	1	3	1	1
320	4	1	1	1	1
330	2	2	3	1	2
340	2	1	3	2	2
350	2	1	3	2	2
360	2	2	1	1	2
370	2	2	3	1	1
410	2	1	3	2	2
411	3	1	3	2	3
420	5	2	1	2	1
430	4	2	1	1	1
440	2	1	1	1	1
450	4	1	1	1	1
511	3	2	3	1	2
632	3	1	2	1	1
729	5	1	1	2	1
828	3	2	3	2	3
1620	2	1	3	2	2
1719	2	1	3	1	1
1815	2	2	1	1	1
1916	6	1	1	1	1
2030	3	2	2	1	1
2113	2	2	3	2	2
2214	2	1	3	2	3
2317	4	2	3	1	1
2418	2	2	1	1	1
2522	2	1	3	1	2
3021	6	2	3	1	1
3823	2	1	3	1	2
3924	4	1	3	2	2
4026	3	1	1	1	2
