exp,imp,v
Afghanistan,France,3.2030000000000003
Albania,Greece,26.596999999999998
Andorra,Canada,0.11599999999999999
Angola,France,0.1
Angola,Japan,0.018000000000000002
Angola,Malta,0.013999999999999999
Angola,Mozambique,0.011000000000000001
Angola,Namibia,0.38299999999999995
Angola,Portugal,461.194
Angola,South Africa,73.442
Angola,Spain,1897.424
Argentina,Canada,0.376
Argentina,France,0.001
Argentina,Paraguay,3.2230000000000003
Argentina,Switzerland,0.261
Australia,Canada,0.083
Australia,China,7.381
Australia,Japan,127.735
Australia,Rep. of Korea,0.033
Australia,China,0.12300000000000001
Australia,Maldives,4.105
Australia,Nauru,2.24
Australia,New Zealand,32.728
Australia,Papua New Guinea,0.353
Australia,Portugal,0.706
Australia,Singapore,201.657
Australia,Viet Nam,0.585
Australia,Switzerland,0.022000000000000002
Australia,United Arab Emirates,0.022000000000000002
Austria,Belgium,0.054000000000000006
Austria,Bulgaria,0.179
Austria,Croatia,389.837
Austria,Cyprus,1.135
Austria,Czechia,29.301
Austria,France,0.09
Austria,Germany,416.361
Austria,Hungary,6450.637
Austria,Italy,531.337
Austria,Latvia,0.002
Austria,Lithuania,0.001
Austria,Luxembourg,1.594
Austria,Maldives,0.23
Austria,Montenegro,0.679
Austria,Netherlands,161.032
Austria,Norway,0.002
Austria,Poland,0.133
Austria,Portugal,0.629
Austria,Romania,0.6759999999999999
Austria,Singapore,0.281
Austria,Slovakia,160.058
Austria,Slovenia,2689.948
Austria,Sweden,0.028999999999999998
Austria,Switzerland,55.37
Austria,United Kingdom,0.478
Bahrain,Saudi Arabia,1.443
Bangladesh,Belgium,1.494
Bangladesh,Canada,0.055999999999999994
Bangladesh,Germany,468.911
Bangladesh,Kuwait,104.124
Bangladesh,Saudi Arabia,10.595999999999998
Bangladesh,Singapore,0.024
Bangladesh,Sweden,0.316
Bangladesh,United Arab Emirates,0.95
Armenia,Georgia,82.959
Belgium,Australia,1.617
Belgium,Austria,56559.775
Belgium,Bahrain,0.14
Belgium,Bulgaria,146.51
Belgium,Croatia,744.182
Belgium,Cyprus,197.292
Belgium,Czechia,22287.093999999997
Belgium,Denmark,4055.4570000000003
Belgium,Estonia,1177.644
Belgium,Finland,316.743
Belgium,France,33731.705
Belgium,Germany,306238.298
Belgium,Greece,2.245
Belgium,China,1.359
Belgium,Hungary,2598.925
Belgium,Ireland,29.070999999999998
Belgium,Italy,4136.062
Belgium,CÙte d'Ivoire,0.094
Belgium,Japan,0.08900000000000001
Belgium,Kuwait,0.304
Belgium,Lebanon,1.663
Belgium,Latvia,3591.063
Belgium,Lithuania,1139.817
Belgium,Luxembourg,3992.113
Belgium,Netherlands,111107.823
Belgium,Poland,13997.598
Belgium,Portugal,147.461
Belgium,Romania,23978.726000000002
Belgium,Slovakia,3405.361
Belgium,Slovenia,307.454
Belgium,Spain,3802.2740000000003
Belgium,Sweden,125.80799999999999
Belgium,Switzerland,1.117
Belgium,Ukraine,1.2930000000000001
Belgium,United Kingdom,8098.448
Bermuda,USA,6.905
Bolivia (Plurinational State of),Argentina,31276.122000000003
Bolivia (Plurinational State of),Chile,646.72
Bolivia (Plurinational State of),Poland,818.8689999999999
Bolivia (Plurinational State of),Uruguay,1643.399
Bosnia Herzegovina,Montenegro,22.601
Bosnia Herzegovina,Russian Federation,3.928
Bosnia Herzegovina,Serbia,12.277999999999999
Botswana,Namibia,0.48700000000000004
Brazil,Algeria,0.018000000000000002
Brazil,Angola,0.012
Brazil,Antigua and Barbuda,0.079
Brazil,Argentina,5433.682
Brazil,Austria,24.34
Brazil,Bahamas,0.701
Brazil,Bahrain,0.03
Brazil,Barbados,0.065
Brazil,Belgium,291.823
Brazil,Bermuda,0.01
Brazil,Belize,0.057999999999999996
Brazil,Belarus,77.88600000000001
Brazil,Canada,1.633
Brazil,Cayman Isds,0.07400000000000001
Brazil,Chile,0.052000000000000005
Brazil,China,0.863
Brazil,Cyprus,0.892
Brazil,Czechia,137.55
Brazil,Denmark,0.10400000000000001
Brazil,Falkland Isds (Malvinas),0.03
Brazil,France,5.455
Brazil,Germany,583.5840000000001
Brazil,Gibraltar,0.14400000000000002
Brazil,Greece,2.326
Brazil,Greenland,0.098
Brazil,China,1.709
Brazil,Italy,0.261
Brazil,Japan,0.212
Brazil,Rep. of Korea,0.034
Brazil,Lebanon,0.04
Brazil,Liberia,2.593
Brazil,Lithuania,0.295
Brazil,Luxembourg,0.03
Brazil,Malaysia,0.006999999999999999
Brazil,Malta,1.857
