exp,imp,v
Albania,France,8950.537
Albania,Greece,1487.509
Albania,Italy,14660.651
Albania,Senegal,1511.3520000000003
Algeria,Egypt,3411.627
American Samoa,Indonesia,11941.177
Andorra,France,9705.109000000004
Andorra,Spain,3436.8559999999998
Angola,Congo,1232.7189999999998
Argentina,Australia,103332.71299999999
Argentina,Belgium,3732.755
Argentina,Bolivia (Plurinational State of),48840.63900000001
Argentina,Brazil,4949772.010000001
Argentina,Canada,1052.539
Argentina,Chile,372147.02400000003
Argentina,Colombia,246543.61
Argentina,Costa Rica,50876.666000000005
Argentina,Czechia,30996.104999999996
Argentina,Dominican Rep.,44408.452
Argentina,Ecuador,57376.46300000001
Argentina,El Salvador,24543.13600000001
Argentina,France,1316.634
Argentina,Germany,110727.63299999999
Argentina,Guatemala,66755.038
Argentina,Honduras,54316.682
Argentina,India,7834.892
Argentina,Italy,3090.0130000000004
Argentina,Japan,3885.0039999999995
Argentina,Mexico,130480.97600000001
Argentina,Morocco,1473.3300000000002
Argentina,New Zealand,22990.581
Argentina,Nicaragua,29489.185999999994
Argentina,Paraguay,134162.74900000004
Argentina,Peru,269895.8559999999
Argentina,Poland,23136.455999999995
Argentina,Russian Federation,2132.3880000000004
Argentina,Saudi Arabia,1052.6509999999998
Argentina,South Africa,92551.68400000004
Argentina,Spain,47198.835
Argentina,Sweden,2346.91
Argentina,Thailand,1209.994
Argentina,Tunisia,2155.6730000000002
Argentina,USA,129258.18399999998
Argentina,Ukraine,1432.404
Argentina,United Rep. of Tanzania,1008.634
Argentina,Uruguay,44976.75700000002
Argentina,Venezuela,2331.8300000000004
Argentina,Zambia,1072.76
Armenia,China,9690.7
Armenia,Germany,2032.5889999999997
Armenia,Russian Federation,2109.4380000000006
Armenia,United Arab Emirates,3758.4700000000003
Aruba,Sudan,3603.8339999999994
Australia,Argentina,5611.669
Australia,Bahrain,2824.8009999999995
Australia,Bangladesh,1396.0600000000002
Australia,Belgium,3360.0380000000005
Australia,Brazil,2603.4270000000006
Australia,Burkina Faso,1769.2839999999997
Australia,Canada,15248.731999999998
Australia,Chile,3185.2870000000003
Australia,China,31515.892999999993
Australia,Christmas Isds,1180.874
Australia,Czechia,4683.129000000001
Australia,CÙte d'Ivoire,2143.99
Australia,Egypt,7844.069999999999
Australia,Fiji,11054.078999999998
Australia,Finland,1061.7019999999998
Australia,France,15821.862000000003
Australia,Germany,15536.011999999999
Australia,Ghana,9266.675000000003
Australia,Guinea,1809.784
Australia,India,2259.794
Australia,Indonesia,36757.501000000004
Australia,Israel,1354.5310000000002
Australia,Italy,5957.559
Australia,Japan,64941.317999999985
Australia,Kenya,5798.320999999999
Australia,Kuwait,4311.968
Australia,Lao People's Dem. Rep.,3173.4550000000004
Australia,Lebanon,2502.929
Australia,Malaysia,10937.569000000001
Australia,Mexico,3582.7169999999996
Australia,Mongolia,1283.417
Australia,Mozambique,2626.8099999999995
Australia,Myanmar,3230.8499999999995
Australia,Nauru,2050.283
Australia,Netherlands,3734.4549999999995
Australia,New Caledonia,11679.492000000002
Australia,New Zealand,214767.72400000002
Australia,Nigeria,4632.919
Australia,Other Asia,1525.0390000000002
Australia,Pakistan,3598.7999999999997
Australia,Panama,4207.040999999999
Australia,Papua New Guinea,58398.653999999995
Australia,Peru,1267.04
Australia,Philippines,1764.7649999999999
Australia,Poland,3396.705
Australia,Qatar,1459.131
Australia,Rep. of Korea,6461.993000000001
Australia,Russian Federation,6808.423
Australia,Samoa,1194.141
Australia,Saudi Arabia,18556.849000000002
