exp,imp,v
Afghanistan,Paraguay,2667.5229999999997
Albania,Bulgaria,1317.2879999999998
Albania,Czechia,10834.733
Albania,Egypt,9352.174
Albania,Greece,41345.449
Albania,Italy,6680.813999999999
Albania,Montenegro,5306.657
Albania,Serbia,9064.827000000001
Albania,Slovenia,16270.663
Albania,TFYR of Macedonia,2398.552
Algeria,Argentina,18506.765
Algeria,Belgium,447328.628
Algeria,Benin,1466.076
Algeria,Brazil,1031024.3099999999
Algeria,Burkina Faso,8256.987
Algeria,China,683408.156
Algeria,Cyprus,17983.03
Algeria,CÙte d'Ivoire,6380.629
Algeria,Dominican Rep.,7521.385
Algeria,Egypt,212394.688
Algeria,Ethiopia,1465.9589999999998
Algeria,France,1560505.359
Algeria,Germany,227778.014
Algeria,Greece,245521.39399999997
Algeria,India,462055.61100000003
Algeria,Italy,5236065.931
Algeria,Japan,85563.94
Algeria,Jordan,31237.891
Algeria,Lebanon,14543.812
Algeria,Malaysia,36120.943
Algeria,Morocco,619657.555
Algeria,Netherlands,304846.689
Algeria,Other Asia,187892.28100000002
Algeria,Pakistan,50327.768
Algeria,Paraguay,1246.862
Algeria,Philippines,12423.169
Algeria,Portugal,30925.341
Algeria,Rep. of Korea,735274.622
Algeria,Romania,1096.008
Algeria,Senegal,2094.891
Algeria,Spain,4136855.7
Algeria,Tunisia,873833.754
Algeria,Turkey,962178.5800000001
Algeria,USA,2233877.383
Algeria,United Kingdom,89054.683
American Samoa,Indonesia,23160.180999999997
American Samoa,Mauritius,3427.679
American Samoa,United Rep. of Tanzania,1451.5510000000002
Angola,Australia,20952.049
Angola,Belgium,31314.469000000005
Angola,Benin,1031.448
Angola,Brazil,193618.32400000002
Angola,Cameroon,6952.632
Angola,China,571063.082
Angola,Congo,2553.32
Angola,France,21898.881
Angola,India,662828.714
Angola,Indonesia,13706.517
Angola,Italy,24402.522
Angola,Japan,120824.263
Angola,Kenya,3128.388
Angola,Kuwait,124729.26
Angola,Mozambique,3612.028
Angola,Netherlands,75914.451
Angola,Other Asia,72446.88500000001
Angola,Pakistan,23152.362
Angola,Philippines,4501.420999999999
Angola,Rep. of Korea,155315.864
Angola,Sao Tome and Principe,22304.822999999997
Angola,Singapore,55858.922
Angola,South Africa,26338.884
Angola,Spain,19125.662
Angola,USA,90738.67899999999
Angola,United Arab Emirates,45889.249
Angola,United Kingdom,246083.51
Antigua and Barbuda,Bermuda,11700.108999999999
Antigua and Barbuda,Dominican Rep.,18155.152
Argentina,Bahamas,51082.833
Argentina,Belgium,27304.010999999995
Argentina,Bolivia (Plurinational State of),44550.29200000001
Argentina,Brazil,393166.48399999994
Argentina,Burkina Faso,6515.41
Argentina,Chile,230806.87600000002
Argentina,China,26787.201999999997
Argentina,Colombia,4754.633
Argentina,CÙte d'Ivoire,9998.294
Argentina,Dominican Rep.,2489.949
Argentina,Ecuador,28724.538
Argentina,Egypt,14134.951000000001
Argentina,France,38449.124
Argentina,Germany,22290.3
Argentina,Mauritius,5389.686
Argentina,Morocco,6992.3769999999995
Argentina,Netherlands,66132.088
Argentina,Nigeria,20565.433999999997
Argentina,Norway,6534.334
Argentina,Paraguay,220872.31399999998
Argentina,Peru,19913.553
Argentina,Singapore,1573.0710000000001
